zip,Tot_Srvcs,Tot_Benes,Avg_Mdcr_Alowd_Amt,age_65_plus,median_income,population,pct_bachelors_plus
84725,7026.5,626,66.78352902987059,287.0,66875.0,1566.0,0.5905172413793104
84737,42617.7,12736,64.33522550430715,4532.0,65381.0,22153.0,0.5604248823304923
84738,458.0,337,79.28274912766666,2815.0,67083.0,9282.0,0.3924198250728863
84740,724.3,39,449.4894149155,94.0,-666666666.0,288.0,0.925
84741,8472.0,6519,76.92070206301808,1441.0,69500.0,6296.0,0.5055531824006835
84745,183.0,47,107.39659333666667,625.0,56392.0,4360.0,0.5110593713620489
84747,1776.5,65,364.4270581862667,173.0,87614.0,966.0,0.6823529411764706
84754,3739.0,2285,28.737429134741667,705.0,62452.0,4059.0,0.5678410794602698
84759,13133.2,2093,106.5972923747871,373.0,64962.0,2199.0,0.561624649859944
84761,13081.0,2149,59.93570044494474,565.0,48599.0,3069.0,0.5815085158150851
84762,2298.2,52,311.5744441154,88.0,71121.0,88.0,0.5340909090909091
84765,8273.3,2853,76.19793063012051,1143.0,91625.0,7625.0,0.45850120870265915
84767,33.0,33,81.44428846150001,132.0,69500.0,666.0,0.44719101123595506
84770,381146.0,98642,100.70298644186272,9049.0,64499.0,47207.0,0.49940711462450593
84780,8317.0,4970,66.83025455567979,4982.0,93578.0,29212.0,0.46561372313163535
84784,1590.5,142,95.17398343946667,67.0,65179.0,1076.0,0.5174953959484346
84790,2085427.0,491826,148.37551350384376,9856.0,81405.0,51773.0,0.45809698078682526
85003,29194.0,22040,98.86388022770649,1185.0,49607.0,9085.0,0.3312667324221502
85004,219067.5,107410,125.51550616098449,639.0,67727.0,10548.0,0.29856004901960786
85006,422517.0,215052,132.9277045387629,1625.0,54073.0,24308.0,0.45052980977913953
85007,6377.0,2604,72.692219135904,1516.0,50490.0,13939.0,0.4604029738174766
85008,163249.9,86226,143.90398844176457,2956.0,57728.0,61759.0,0.4573218277278162
85009,1168.0,872,50.09302650123684,3977.0,46707.0,52420.0,0.4803652384905178
85012,211175.5,115548,151.028082814389,1239.0,74435.0,7871.0,0.3017004048582996
85013,1623610.0,271766,131.18585138464874,2605.0,65142.0,20662.0,0.372337775563582
85014,683389.0,104966,182.0580091272069,3665.0,64146.0,25843.0,0.41182868092599306
85015,360997.1,230595,105.02405221646502,3635.0,47486.0,42594.0,0.4317044282275628
85016,1064280.0,318841,170.94391126705662,5058.0,80315.0,37025.0,0.36698740625442194
85017,1612.0,992,79.29095748378379,1831.0,50754.0,43226.0,0.48636566830576666
85018,504742.0,165892,111.80816314729228,4821.0,85335.0,38411.0,0.31873435824097246
85019,4292.0,602,76.18874848023529,1982.0,55674.0,28102.0,0.4952154568172122
85020,560656.0,209157,163.3614436044604,5891.0,74622.0,34376.0,0.4071696931747026
85021,416025.1,85717,119.13371184217273,5183.0,56410.0,39835.0,0.45683104886769965
85022,420443.0,138618,187.56378562776007,6774.0,63905.0,51826.0,0.4703998729721862
85023,141691.0,41742,217.1844089382583,4273.0,67986.0,33097.0,0.5140544582765143
85024,23100.0,9276,579.6571260257198,2244.0,91385.0,24754.0,0.3651351678991393
85027,713630.0,180231,154.38097074178373,4707.0,71362.0,39152.0,0.5425645167211189
85028,453215.0,132015,116.63691663029006,3872.0,112865.0,18174.0,0.3149775016070281
85029,95136.0,35669,103.55895470453551,5627.0,57802.0,49592.0,0.5069071133891736
85031,22689.0,15401,73.95963118975406,2652.0,60741.0,31838.0,0.46736364642106426
85032,1608344.0,229767,109.38232575816153,9169.0,69942.0,68805.0,0.466403162055336
85033,14198.0,7422,55.43731318533056,3435.0,57045.0,59904.0,0.5200134031923968
85034,5236563.9,3033441,51.633121973978234,325.0,42177.0,4845.0,0.40699935191186
85035,2820.0,2184,63.887048201484376,2905.0,53633.0,54535.0,0.5059797285448743
85037,1122718.5,120091,141.35766076151492,3329.0,75281.0,51987.0,0.5417868358648977
85040,4512842.0,2759059,58.272965670476474,2528.0,55771.0,34861.0,0.5196311719214753
85041,6730.0,4067,67.95736625891489,5417.0,65345.0,62702.0,0.4924515488690383
85042,183398.8,15150,75.62415460546148,4344.0,78282.0,46913.0,0.45875966441848987
85043,4782.0,1791,49.36842472622041,1909.0,66158.0,40091.0,0.5325139946967465
85044,212342.0,51392,81.44476540430787,6047.0,92041.0,39486.0,0.36555733481863123
85048,719659.0,93027,105.34364354237846,4288.0,115101.0,34008.0,0.30712123097341465
85050,328432.0,84225,147.70419562932472,4283.0,133455.0,31425.0,0.3135754371318584
85051,231706.0,75675,64.70509559829028,4520.0,57176.0,43520.0,0.5319716756218197
85053,104070.0,34182,165.38766915539682,3277.0,65933.0,28819.0,0.5265298026381038
85054,887923.0,231330,116.80001274596783,1365.0,85656.0,8394.0,0.3454253611556982
85083,51966.0,8357,67.63786860592522,2352.0,149058.0,19703.0,0.336325237592397
85085,86912.0,21214,348.44547618187266,2753.0,112928.0,27769.0,0.38329264409298375
85086,136052.3,36164,73.42358080131585,6953.0,114775.0,43884.0,0.43620850553259566
85087,1194.0,899,52.640267563721046,1916.0,112614.0,9410.0,0.5127336964522302
85118,46249.0,12751,75.97524383060436,6476.0,80703.0,12959.0,0.42675483214649035
85119,23321.7,6664,91.423126148435,7500.0,65939.0,24051.0,0.6057881576847369
85120,49000.0,25677,102.60458292194924,9549.0,53291.0,29623.0,0.6290903004435517
85122,419469.4,108246,88.08217119759156,8804.0,62944.0,55919.0,0.5830340488320944
85123,1431.0,1033,64.01858570923461,2110.0,52396.0,8766.0,0.6157510320736742
85128,7876.0,4000,71.9529637449672,2229.0,55768.0,17659.0,0.6475165113543834
85131,3811.2,1037,99.88118603622381,2527.0,58229.0,17695.0,0.5868181160468818
85132,14811.0,3508,56.281169894051615,5836.0,72894.0,38160.0,0.5559504467912266
85138,29207.0,7460,75.9938468250368,6994.0,89026.0,49220.0,0.5838243170862346
85139,34604.0,9536,57.78991582692812,2508.0,81605.0,19307.0,0.5127173213135866
85140,84304.0,30012,198.2040904187188,6341.0,91374.0,48743.0,0.5256320575597082
85142,110088.3,44544,78.35471803847949,7848.0,116587.0,82360.0,0.4824925109607793
85143,49319.0,10125,69.63993576888166,4441.0,85744.0,39622.0,0.5966789808432037
85145,14.0,14,137.44571429,380.0,76851.0,3173.0,0.5106190691369182
85147,18020.0,11337,66.12355289807022,436.0,36411.0,4538.0,0.6712522045855379
85194,3275.0,1968,88.79737145226666,3004.0,69890.0,7532.0,0.5670588235294117
85201,270496.4,54385,120.64180557521593,4530.0,57684.0,51840.0,0.5283553875236295
85202,605471.0,127623,131.9678648693201,4094.0,61522.0,39894.0,0.5149199832744137
85203,45835.0,18803,102.32388218425343,4015.0,69274.0,38202.0,0.5278905301920743
85204,356768.0,83922,110.26362970647999,6413.0,65836.0,66851.0,0.5492790973044508
85205,111878.0,53119,96.98206962445292,10709.0,68772.0,44010.0,0.5378470323795638
85206,2049135.0,531493,178.87941006922492,9230.0,64665.0,36378.0,0.5194628403237674
85207,151691.0,44882,112.94294334379069,9206.0,94913.0,48133.0,0.4698428066978016
85208,105424.0,42675,303.7900728051918,8084.0,65540.0,37524.0,0.5988378589786568
85209,237185.0,88111,95.25121372381166,9741.0,75808.0,41012.0,0.5193172797036253
